Strategy,Exp1,Exp2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10,Exp11,Exp12,Exp13,Exp14,Exp15,Exp16,Exp17,Exp18,Exp19,Exp20,Exp21,Exp22,Exp23,Exp24,Exp25,Exp26,Exp27,Exp28,Exp29,Exp30,Exp31,Exp32,Exp33,Exp34,Exp35,Exp36,Exp37,Exp38,Exp39,Exp40,Exp41,Exp42,Exp43,Exp44,Exp45,Exp46,Exp47,Exp48,Exp49,Exp50,Average
StandardT43TPlayer,918.92,911.68,925.30,925.45,911.33,922.97,895.42,927.46,916.98,901.22,925.54,902.57,908.05,906.61,913.72,906.49,928.79,914.83,919.68,918.48,914.33,922.59,900.25,906.38,909.46,915.58,911.55,920.38,907.88,928.00,916.34,905.69,924.43,924.42,922.78,922.79,922.21,926.01,897.89,923.17,921.06,919.52,921.19,924.77,919.15,910.57,914.26,902.27,924.36,913.20,915.88
StandardT44TPlayer,906.80,905.62,903.38,911.52,922.35,916.48,913.50,912.12,909.51,915.59,924.31,913.72,920.45,928.56,915.09,902.25,918.97,922.05,906.95,926.14,899.92,917.08,916.44,917.24,915.61,923.29,916.14,917.44,921.10,902.42,919.05,928.83,912.28,907.58,928.15,920.45,914.13,914.50,928.82,910.91,889.21,918.35,908.55,935.55,895.42,922.95,915.02,923.92,917.68,903.89,915.15
StandardT42TPlayer,921.12,911.39,905.46,918.62,912.65,934.02,911.82,896.74,909.20,900.16,923.80,920.33,915.59,936.39,905.64,921.78,921.55,922.88,918.37,921.92,924.81,907.33,916.29,917.30,913.15,905.86,908.80,910.17,921.36,908.21,912.54,914.23,915.57,921.61,920.49,914.63,913.97,905.83,904.41,915.86,916.63,906.38,921.26,924.23,906.87,898.92,902.61,903.54,908.13,915.94,914.13
TolerantPlayer,914.65,916.55,895.68,899.69,907.67,919.76,914.83,906.40,912.47,905.72,910.85,920.73,906.20,903.64,905.68,910.23,911.04,907.00,906.37,897.61,901.49,916.06,899.04,915.67,904.87,907.80,915.19,911.56,899.83,895.73,930.43,893.42,913.01,905.38,904.81,926.42,912.42,909.20,908.83,902.26,912.72,922.85,905.27,915.85,911.28,900.94,906.48,901.17,904.65,908.18,908.71
T4TPlayer,871.84,868.11,841.10,886.79,858.30,890.68,874.98,877.97,879.03,868.22,883.45,877.19,872.01,889.24,900.06,865.95,880.23,856.53,878.14,873.65,866.70,884.99,873.13,887.59,869.82,861.62,870.64,875.56,888.43,859.85,882.63,871.56,875.77,880.03,856.52,887.39,862.49,884.96,890.87,879.95,880.05,882.87,863.27,883.75,883.69,862.60,862.20,877.22,884.87,860.19,874.89
StandardT4TPlayer,890.41,859.76,869.76,872.60,861.19,866.40,875.47,854.60,871.64,851.21,869.70,854.27,856.08,870.23,888.77,863.14,860.52,866.28,873.73,870.55,862.02,854.46,861.98,854.74,865.89,870.62,859.39,868.61,867.92,858.94,866.27,868.17,862.75,846.22,871.98,877.83,870.57,883.04,869.66,867.77,875.06,870.08,845.02,865.99,860.53,850.14,873.77,855.58,853.70,862.26,865.35
GenerousT4TPlayer,860.66,857.42,855.46,869.66,859.43,882.23,860.78,857.25,863.57,856.52,870.59,855.29,866.48,868.91,871.47,856.50,861.14,858.78,849.42,849.38,859.68,864.70,859.48,861.36,876.85,865.35,856.01,849.24,867.68,850.61,868.84,871.24,875.92,846.28,867.73,881.51,852.94,866.66,868.51,858.83,873.19,874.38,853.32,860.14,875.92,859.33,866.76,873.87,872.06,862.95,863.45
EndGameDefactorPlayer,862.57,868.70,861.89,867.70,877.26,861.17,868.35,869.74,844.58,847.48,882.21,860.76,856.21,871.99,850.41,868.03,871.98,852.90,859.31,860.56,848.14,853.65,867.50,868.16,862.71,858.93,872.57,854.45,866.52,860.28,872.52,854.70,851.26,854.00,867.39,868.61,862.75,870.34,863.68,851.56,847.63,858.16,857.51,861.77,856.56,869.94,864.70,874.87,862.57,853.72,862.02
NicePlayer,838.65,830.77,859.29,834.06,848.58,832.21,851.15,822.60,848.06,834.41,835.67,848.70,854.20,833.89,849.50,843.23,856.53,833.41,840.57,815.78,839.37,846.76,834.64,823.51,832.73,838.59,853.14,847.81,852.72,852.25,852.10,835.19,844.12,851.70,829.54,828.25,863.92,831.21,838.16,841.36,852.89,847.19,832.51,868.51,829.00,853.64,832.83,827.59,843.04,852.38,841.76
TriggerPlayer,817.36,815.11,821.00,843.24,833.17,829.47,828.92,839.09,829.18,841.78,822.09,827.43,836.14,830.31,829.79,829.93,831.16,838.44,842.14,843.88,822.37,839.77,831.40,823.17,840.26,842.27,834.03,846.39,836.51,814.38,843.02,831.91,830.63,833.39,831.92,831.31,813.76,846.83,825.08,823.53,839.43,843.47,828.46,827.91,823.92,825.62,829.28,813.42,822.20,829.95,831.10
PavlovPlayer,789.45,797.06,807.03,796.53,798.23,799.63,807.08,808.88,790.22,796.22,786.33,796.79,797.56,822.33,817.23,800.68,811.73,784.98,791.29,808.69,791.85,787.67,808.05,819.25,795.45,780.83,821.81,799.81,801.32,803.21,809.02,788.59,799.51,800.56,801.53,793.05,794.60,820.82,801.15,811.24,799.96,799.30,792.38,799.97,791.97,798.32,788.07,797.81,790.25,790.30,799.71
SuspiciousT4TPlayer,692.18,704.08,658.55,705.51,697.87,696.90,704.33,694.42,681.12,667.72,691.79,692.32,680.41,697.00,696.29,691.20,685.44,662.48,693.10,697.49,689.63,698.60,686.15,693.78,686.99,707.79,680.56,689.69,731.78,688.80,710.96,670.71,695.10,686.21,708.22,705.95,683.23,709.83,702.82,704.51,705.51,697.97,686.65,676.92,681.53,668.34,698.39,685.36,683.00,674.23,691.59
FreakyPlayer,702.57,687.36,675.09,718.34,678.86,719.37,648.93,681.60,678.54,656.92,704.53,692.68,685.13,685.49,715.45,662.40,684.90,679.22,702.40,703.33,657.97,696.02,705.63,700.55,684.25,680.51,647.16,690.04,716.15,681.13,728.81,689.49,681.99,661.94,696.67,730.00,659.36,701.53,697.96,670.11,660.27,718.08,665.96,714.43,711.06,665.31,657.06,667.96,718.06,675.64,687.88
JossPlayer,681.25,680.66,675.67,681.64,680.20,679.37,672.38,678.40,669.57,676.20,684.99,680.83,678.86,682.80,684.37,661.76,678.11,680.45,664.27,678.54,673.15,679.01,671.66,688.95,677.24,677.75,683.01,675.83,696.29,664.79,680.84,682.26,685.51,658.22,705.63,682.31,674.26,677.19,674.39,693.35,691.93,672.88,685.37,670.43,672.12,675.86,681.63,682.31,679.89,691.58,679.12
SuspiciousStandardT4TPlayer,662.81,647.16,652.80,659.19,658.65,658.50,646.36,659.12,659.52,643.37,652.59,641.46,639.25,657.08,644.48,639.57,638.59,644.45,641.17,648.40,656.14,653.83,635.37,655.48,647.08,637.82,634.08,656.00,657.55,644.33,649.09,632.08,639.18,658.89,669.81,659.87,635.19,656.54,642.63,652.59,645.41,662.17,650.16,654.10,642.00,652.16,647.39,654.08,649.36,640.46,649.31
TesterPlayer,640.20,635.94,614.98,631.22,636.09,632.74,632.29,629.14,621.97,615.26,619.02,625.64,625.87,641.70,617.84,629.49,624.37,624.80,622.82,623.05,610.13,617.95,617.72,634.59,626.74,632.14,616.56,625.57,644.23,630.64,633.57,617.54,622.19,641.41,619.84,635.58,619.68,609.28,629.97,631.01,618.03,641.03,619.25,623.18,608.98,630.96,625.08,623.98,638.95,630.47,626.41
RandomPlayer,566.96,579.24,591.13,548.07,589.64,570.19,562.83,614.39,614.77,558.40,602.29,581.48,584.52,587.10,550.81,564.23,547.21,569.05,586.72,570.81,552.06,561.47,580.85,564.56,567.78,602.81,574.09,583.88,590.87,553.69,598.66,572.97,576.16,566.08,569.98,601.47,585.68,579.19,561.69,577.42,577.21,585.63,587.66,568.92,566.37,595.12,580.20,576.87,552.79,578.85,576.62
NastyPlayer,537.47,561.48,569.18,560.43,557.91,550.32,566.28,550.34,563.04,554.32,546.34,558.60,545.65,550.51,550.78,558.32,557.78,562.39,545.73,546.36,558.49,550.83,554.88,537.23,569.74,561.79,552.16,554.96,563.28,552.39,555.41,547.68,554.34,549.97,569.59,566.20,558.43,560.74,557.98,562.09,558.20,554.83,550.77,559.31,544.73,544.46,550.41,554.88,546.06,549.78,554.90
